station_id;station_name;station_latitud;station_longitud
84101;Almazan;41,489019;-2,525375
70103;Alcala de Henares;40,4889113;-3,3662523
98003;Fte de La Mora;40,484794;-3,662886
70101;San Fernando Henares;40,442537;-3,5344609
70102;Torrejon de Ardoz;40,4547384;-3,4797415
70107;Alcala Henares-Universidad (apd);40,5052933;-3,3352443
70104;Meco (apd-Cgd);40,5344356;-3,2990455
70105;Azuqueca;40,5610437;-3,2653569
70002;Asamblea de Mad. Entrevias;40,3816176;-3,6679819
70003;El Pozo;40,3760524;-3,6562354
70005;Vallecas;40,382364;-3,623042
70109;Santa Eugenia;40,3869128;-3,6089604
70100;Vicalvaro;40,4012112;-3,5959811
70108;Coslada (apd);40,423221;-3,5611137
70112;Soto del Henares;40,4638889;-3,4422222
